file_id,n_child,n_adult,chi_ratio,mlu_child,mlu_adult,ttr_child,ttr_adult,avg_chars_child,avg_chars_adult
td_Providence_030121,629,837,0.429,3.328,5.381,0.217,0.195,32.6,43.6
td_Providence_030125,661,717,0.48,2.448,4.47,0.192,0.159,29.4,35.2
td_Providence_030219,515,779,0.398,4.763,5.101,0.161,0.163,41.8,36.6
td_Providence_030301,722,827,0.466,2.278,4.502,0.201,0.195,28.6,32.7
td_Providence_030305,610,507,0.546,3.516,5.903,0.145,0.164,33.6,41.2
td_Providence_030313,479,573,0.455,2.868,4.422,0.166,0.189,32.2,35.7
td_Providence_030323,603,805,0.428,3.0,5.86,0.218,0.163,31.0,46.2
td_Providence_030325,456,536,0.46,4.224,4.965,0.175,0.213,39.3,39.0
td_Providence_030327,686,732,0.484,2.776,4.575,0.126,0.165,30.7,33.3
td_Providence_030400,427,517,0.452,2.29,4.779,0.223,0.201,28.4,36.1
td_Providence_030418,805,590,0.577,3.24,5.114,0.173,0.185,32.8,38.8
td_Providence_030420,668,686,0.493,3.052,5.125,0.203,0.218,32.1,40.7
td_Providence_030528,546,749,0.422,3.026,5.262,0.245,0.197,32.1,44.0
td_Providence_030600,455,840,0.351,2.547,4.492,0.252,0.244,30.7,37.5
td_Providence_030621,258,385,0.401,2.888,5.997,0.262,0.314,31.4,43.6
td_Providence_030623,467,772,0.377,5.458,6.527,0.211,0.185,46.3,46.0
td_Providence_030722,316,603,0.344,3.288,5.867,0.263,0.175,33.9,43.0
td_Providence_030725,701,727,0.491,3.864,5.234,0.164,0.175,36.7,41.2
td_Providence_030823,317,599,0.346,3.823,7.973,0.233,0.192,36.5,53.8
td_Providence_030927a,544,863,0.387,3.011,6.399,0.197,0.214,30.8,45.9
td_Providence_030927b,455,900,0.336,3.081,5.923,0.245,0.188,33.2,42.3
td_Providence_031018,278,377,0.424,3.435,5.263,0.251,0.222,33.9,40.4
td_Providence_031025,596,860,0.409,3.587,6.103,0.178,0.166,35.2,43.6
td_Providence_031124,254,450,0.361,3.496,7.098,0.218,0.181,33.2,48.2
td_Providence_040002,531,861,0.381,3.019,7.161,0.218,0.207,31.3,48.0
td_Sachs_010616,563,735,0.434,1.645,3.695,0.231,0.169,21.8,37.5
td_Sachs_010800,201,254,0.442,1.562,3.697,0.271,0.245,24.6,37.7
td_Sachs_010806,172,299,0.365,1.488,2.753,0.402,0.295,24.4,35.0
td_Sachs_011003,192,162,0.542,1.536,4.648,0.322,0.313,25.4,41.6
td_Sachs_011010a,183,175,0.511,1.705,4.583,0.324,0.298,25.1,42.6
